validScientificName,scientificNameAuthorship,phylum,order,family,genus,taxonRank,iucnRedListCategory,decimalLongitude,decimalLatitude,coordinateUncertaintyInMeters,year,nomenclaturalStatus,taxonomicStatus,New.accepted,Old.name,One.Reason,datasetKey
Hypericum maculatum,Crantz,Tracheophyta,Malpighiales,Hypericaceae,Hypericum,species,NE,10.421715,63.445212,10,2020,Valid,Accepted,FALSE,"",Not a synonym,b124e1e0-4755-430f-9eab-894f25a9b59c
Pimpinella saxifraga,L.,Tracheophyta,Apiales,Apiaceae,Pimpinella,species,NE,10.421859,63.445236,23,2021,Valid,Accepted,FALSE,"","",b124e1e0-4755-430f-9eab-894f25a9b59c
Ptychostomum pallens,(Sw.) J.R.Spence,Bryophyta,Bryales,Bryaceae,Ptychostomum,species,NE,10.4235,63.4454,1414,1888,Valid,Accepted,FALSE,"","",6728c42d-c4b6-4fda-a211-5ad1bb59cda4
Amblystegium serpens,(Hedw.) Schimp.,Bryophyta,Hypnales,Amblystegiaceae,Amblystegium,species,NE,10.4235,63.4454,1414,1889,Valid,Accepted,FALSE,"","",6728c42d-c4b6-4fda-a211-5ad1bb59cda4
Veronica chamaedrys,L.,Tracheophyta,Lamiales,Plantaginaceae,Veronica,species,NE,10.426153,63.444461,5,2020,Valid,Accepted,FALSE,"","",b124e1e0-4755-430f-9eab-894f25a9b59c
Scandosorbus intermedia,(Ehrh.) Sennikov,Tracheophyta,Rosales,"",Scandosorbus,species,NE,10.426871,63.44428,5,2020,"",Unchecked,FALSE,"","",b124e1e0-4755-430f-9eab-894f25a9b59c
Buckia vaucheri,"(Lesq.) D. Ríos, M.T. Gallego & J. Guerra",Bryophyta,Hypnales,Pylaisiaceae,Buckia,species,NE,10.4235,63.4454,1414,1889,"",Unchecked,FALSE,"","",6728c42d-c4b6-4fda-a211-5ad1bb59cda4
Pseudanomodon attenuatus,(Hedw.) Ignatov & Fedosov,Bryophyta,Hypnales,"",Pseudanomodon,species,NE,10.4235,63.4454,1414,1888,"",Unchecked,FALSE,"","",6728c42d-c4b6-4fda-a211-5ad1bb59cda4
Plenogemma phyllantha,"(Brid.) Sawicki, Plášek & Ochyra",Bryophyta,Orthotrichales,Orthotrichaceae,Plenogemma,species,NE,10.4235,63.4454,1414,1897,"",Unchecked,FALSE,"","",6728c42d-c4b6-4fda-a211-5ad1bb59cda4
Geheebia ferruginea,(Schimp. ex Besch.) R.H. Zander,Bryophyta,Pottiales,Pottiaceae,Geheebia,species,NE,10.4235,63.4454,1414,1894,"",Unchecked,FALSE,"","",6728c42d-c4b6-4fda-a211-5ad1bb59cda4
Bryoerythrophyllum recurvirostrum,(Hedw.) P.C.Chen,Bryophyta,Pottiales,Pottiaceae,Bryoerythrophyllum,species,NE,10.4235,63.4454,1414,1895,Valid,Accepted,FALSE,"","",6728c42d-c4b6-4fda-a211-5ad1bb59cda4
Tortella fragilis,(Hook. & Wilson) Limpr.,Bryophyta,Pottiales,Pottiaceae,Tortella,species,NE,10.4235,63.4454,1414,1888,Valid,Accepted,FALSE,"","",6728c42d-c4b6-4fda-a211-5ad1bb59cda4
Orthotrichum cupulatum,Hoffm. ex Brid.,Bryophyta,Orthotrichales,Orthotrichaceae,Orthotrichum,species,NE,10.4235,63.4454,1414,1891,Valid,Accepted,FALSE,"","",6728c42d-c4b6-4fda-a211-5ad1bb59cda4
Hylocomium splendens,(Hedw.) Schimp.,Bryophyta,Hypnales,Hylocomiaceae,Hylocomium,species,NE,10.4235,63.4454,1414,1954,Valid,Accepted,FALSE,"","",6728c42d-c4b6-4fda-a211-5ad1bb59cda4
Isothecium alopecuroides,(Lam. ex Dubois) Isov.,Bryophyta,Hypnales,Lembophyllaceae,Isothecium,species,NE,10.4235,63.4454,1414,1894,Valid,Accepted,FALSE,"","",6728c42d-c4b6-4fda-a211-5ad1bb59cda4
Eurhynchium striatum,(Schreb. ex Hedw.) Schimp.,Bryophyta,Hypnales,Brachytheciaceae,Eurhynchium,species,NE,10.4235,63.4454,1414,1888,Valid,Accepted,FALSE,"","",6728c42d-c4b6-4fda-a211-5ad1bb59cda4
Pseudoleskeella tectorum,(Funck ex Brid.) Kindb. ex Broth.,Bryophyta,Hypnales,Leskeaceae,Pseudoleskeella,species,NE,10.4235,63.4454,1414,1895,Valid,Accepted,FALSE,"","",6728c42d-c4b6-4fda-a211-5ad1bb59cda4
Platydictya jungermannioides,(Brid.) H.A.Crum,Bryophyta,Hypnales,Plagiotheciaceae,Platydictya,species,NE,10.4235,63.4454,1414,1895,Valid,Accepted,FALSE,"","",6728c42d-c4b6-4fda-a211-5ad1bb59cda4
Pterigynandrum filiforme,Hedw.,Bryophyta,Hypnales,Pterigynandraceae,Pterigynandrum,species,NE,10.4235,63.4454,1414,1888,Valid,Accepted,FALSE,"","",6728c42d-c4b6-4fda-a211-5ad1bb59cda4
Hypnum cupressiforme,Hedw.,Bryophyta,Hypnales,Hypnaceae,Hypnum,species,NE,10.4235,63.4454,1414,1895,Valid,Accepted,FALSE,"","",6728c42d-c4b6-4fda-a211-5ad1bb59cda4
Ctenidium molluscum,(Hedw.) Mitt.,Bryophyta,Hypnales,Hypnaceae,Ctenidium,species,NE,10.4262,63.4443,1,2009,Valid,Accepted,FALSE,"","",6728c42d-c4b6-4fda-a211-5ad1bb59cda4
Conocephalum conicum,(L.) Underw.,Marchantiophyta,Marchantiales,Conocephalaceae,Conocephalum,species,NE,10.4235,63.4454,1414,1888,Valid,Accepted,FALSE,"","",6728c42d-c4b6-4fda-a211-5ad1bb59cda4
Luzula pilosa,(L.) Willd.,Tracheophyta,Poales,Juncaceae,Luzula,species,NE,10.422191,63.445275,8,2021,Valid,Accepted,FALSE,"","",50c9509d-22c7-4a22-a47d-8c48425ef4a7
Luzula multiflora  subsp. multiflora,"",Tracheophyta,Poales,Juncaceae,Luzula,subspecies,,10.4218,63.4452,7,2008,Valid,Accepted,FALSE,"","",d29d79fd-2dc4-4ef5-89b8-cdf66994de0d
